876,258       ,CUBANITO (P)                  ,CUBANITO (P)                                                                                        ,90,5,,,2.05,,,,,,,
877,257       ,CUBANITO (G)                  ,CUBANITO (G)                                                                                        ,90,5,,,2.75,,,,,,,
878,256       ,NEGRITO (P)                   ,NEGRITO (P)                                                                                         ,90,5,,,1.95,,,,,,,
879,255       ,NEGRITO (G)                   ,NEGRITO (G)                                                                                         ,90,5,,,2.40,,,,,,,
880,254       ,CANARIO (P)                   ,CANARIO (P)                                                                                         ,90,5,,,1.95,,,,,,,
881,253       ,CANARIO (G)                   ,CANARIO (G)                                                                                         ,90,5,,,2.40,,,,,,,
882,252       ,BLANCO Y NEGRO (P)            ,BLANCO Y NEGRO (P)                                                                                  ,90,5,,,1.95,,,,,,,
883,251       ,BLANCO Y NEGRO (G)            ,BLANCO Y NEGRO (G)                                                                                  ,90,5,,,2.40,,,,,,,
884,766       ,COMBINADO GRANIZADO PEQUE¥O   ,COMBINADO GRANIZADO PEQUE¥O                                                                         ,100,5,,,2.60,,,,,,,
885,764       ,COMBINADO GRANIZADO GRANDE    ,COMBINADO GRANIZADO GRANDE                                                                          ,100,5,,,3.00,,,,,,,
886,240       ,LECHERA ALMENDRA 1 LITRO      ,LECHERA ALMENDRA 1 LITRO                                                                            ,100,5,,,8.40,,,,,,,
887,239       ,LECHERA ALMENDRA 1/2 LITRO    ,LECHERA ALMENDRA 1/2 LITRO                                                                          ,100,5,,,4.20,,,,,,,
888,238       ,LECHERA CHUFA 1 LITRO         ,LECHERA CHUFA 1 LITRO                                                                               ,100,5,,,7.35,,,,,,,
889,237       ,LECHERA CHUFA 1/2 LITRO       ,LECHERA CHUFA 1/2 LITRO                                                                             ,100,5,,,3.70,,,,,,,
890,236       ,LECHERA CAFE 1 LITRO          ,LECHERA CAFE 1 LITRO                                                                                ,100,5,,,6.30,,,,,,,
891,235       ,LECHERA CAFE 1/2 LITRO        ,LECHERA CAFE 1/2 LITRO                                                                              ,100,5,,,3.15,,,,,,,
892,234       ,LECHERA LECHE 1 LITRO         ,LECHERA LECHE 1 LITRO                                                                               ,100,5,,,6.30,,,,,,,
893,233       ,LECHERA LECHE 1/2 LITRO       ,LECHERA LECHE 1/2 LITRO                                                                             ,100,5,,,3.15,,,,,,,
894,232       ,LECHERA DE LIMON 1 LITRO      ,LECHERA DE LIMON 1 LITRO                                                                            ,100,5,,,6.30,,,,,,,
895,231       ,LECHERA LIMON 1/2 LITRO       ,LECHERA LIMON 1/2 LITRO                                                                             ,100,5,,,3.15,,,,,,,
896,225       ,GR. HORCHATA CHUFA (CHUPITO)  ,GR. HORCHATA CHUFA (CHUPITO)                                                                        ,100,5,,,0.75,,,,,,,
897,224       ,GR. LECHE (CHUPITO)           ,GR. LECHE (CHUPITO)                                                                                 ,100,5,,,0.65,,,,,,,
898,223       ,GR. CAFE (CHUPITO)            ,GR. CAFE (CHUPITO)                                                                                  ,100,5,,,0.65,,,,,,,
899,222       ,GR. CAFE DESC. (CHUPITO)      ,GR. CAFE DESC. (CHUPITO)                                                                            ,100,5,,,0.65,,,,,,,
900,221       ,GR. LIMON (CHUPITO)           ,GR. LIMON (CHUPITO)                                                                                 ,100,5,,,0.65,,,,,,,
901,218       ,GR. NARANJA (G)               ,GR. NARANJA (G)                                                                                     ,100,5,,,2.30,,,,,,,
902,217       ,GR. NARANJA (P)               ,GR. NARANJA (P)                                                                                     ,100,5,,,1.90,,,,,,,
903,216       ,MEZCLA LIMON CHUFA (G)        ,MEZCLA LIMON CHUFA (G)                                                                              ,100,5,,,2.00,,,,,,,
904,215       ,MEZCLA LIMON CHUFA (P)        ,MEZCLA LIMON CHUFA (P)                                                                              ,100,5,,,1.60,,,,,,,
905,214       ,GR. HORCHATA ALMENDRA (P)     ,GR. HORCHATA ALMENDRA (P)                                                                           ,100,5,,,1.90,,,,,,,
